iter	Logloss
0	0.675726309
1	0.6595029813
2	0.6474982049
3	0.6325572654
4	0.6190825596
5	0.6058962079
6	0.5919305617
7	0.5791894691
8	0.5684289014
9	0.5571931044
10	0.5459696157
11	0.5343851878
12	0.5260624878
13	0.5188993211
14	0.5096197629
15	0.4975421323
16	0.4892528146
17	0.4829717602
18	0.4727825957
19	0.468378928
20	0.4622599456
21	0.4564425915
22	0.4502278879
23	0.4461068329
24	0.4401234181
25	0.4350906063
26	0.4315664249
27	0.4246677423
28	0.421223613
29	0.417253668
30	0.4139510199
31	0.4112723298
32	0.408754187
33	0.4050469679
34	0.4016100757
35	0.3993096949
36	0.3960962743
37	0.3926566783
38	0.3896961544
39	0.3864676904
40	0.3847038388
41	0.3825212089
42	0.3806903636
43	0.3790489503
44	0.3765699305
45	0.3729714841
46	0.3691682004
47	0.3668911511
48	0.3655478254
49	0.3638336659
50	0.3600199095
51	0.3588871975
52	0.3570527273
53	0.3559837427
54	0.3550366978
55	0.3517747769
56	0.3507014138
57	0.3491011138
58	0.3467873089
59	0.3458242475
60	0.3435669401
61	0.3426638365
62	0.3418861067
63	0.3410122134
64	0.3404142708
65	0.3395566236
66	0.3388541394
67	0.3371509183
68	0.3358566052
69	0.334287257
70	0.3337555828
71	0.3331411074
72	0.3325940595
73	0.3316714281
74	0.3310648972
75	0.3295242634
76	0.328863605
77	0.3270666818
78	0.3264592735
79	0.3258972188
80	0.3253204393
81	0.3249570418
82	0.3236451341
83	0.3231450801
84	0.3227567452
85	0.3223234184
86	0.3218272908
87	0.3214608437
88	0.3203576704
89	0.3199259683
90	0.3191597837
91	0.3181927251
92	0.3178208806
93	0.3172713661
94	0.3168279639
95	0.316450271
96	0.3160853155
97	0.315741663
98	0.315328429
99	0.3143857328
100	0.3140631677
101	0.3137527848
102	0.3132863824
103	0.3129219352
104	0.3125950707
105	0.3122644012
106	0.3110542065
107	0.3107393082
108	0.3105367956
109	0.309410054
110	0.3091041722
111	0.308895248
112	0.3086910351
113	0.3084725153
114	0.3081127364
115	0.3078320691
116	0.3070862773
117	0.3066427548
118	0.3064610446
119	0.305757288
120	0.3051205826
121	0.3049072453
122	0.3045891156
123	0.3043159031
124	0.3040260312
125	0.3037628017
126	0.3035141531
127	0.3032632597
128	0.3029878006
129	0.3027964657
130	0.3025842138
131	0.3023455009
132	0.3020648546
133	0.301893632
134	0.3017460721
135	0.3016006701
136	0.3014026016
137	0.301095857
138	0.3009406956
139	0.3003589351
140	0.3001572801
141	0.300044753
142	0.299799387
143	0.2995504407
144	0.2993473889
145	0.2991307086
146	0.2989397983
147	0.2987398763
148	0.2985265
149	0.2983006279
150	0.297786217
151	0.2976372289
152	0.2974445354
153	0.2973024389
154	0.2968486837
155	0.2967416313
156	0.2965858233
157	0.2963555947
158	0.2961970394
159	0.2960182001
160	0.2958006957
161	0.2956767123
162	0.2955531934
163	0.2950215299
164	0.2947445615
165	0.2946335361
166	0.2942416789
167	0.2941160201
168	0.293934995
169	0.293727687
170	0.2935124339
171	0.2933382554
172	0.293132952
173	0.2929166686
174	0.2927454558
175	0.2925902718
176	0.2920557174
177	0.2918935345
178	0.2917684063
179	0.2915999661
180	0.2914507225
181	0.2913443164
182	0.2912010646
183	0.2910736143
184	0.2907831146
185	0.2906213036
186	0.290434457
187	0.2903525306
188	0.2901917453
189	0.2896942495
190	0.2895542386
191	0.2893449985
192	0.2891982296
193	0.2890156384
194	0.2887295919
195	0.2886407476
196	0.2884759997
197	0.2883135668
198	0.2881657737
199	0.2880395973
200	0.2878892962
201	0.2877647549
202	0.2875788239
203	0.2874303858
204	0.2872843565
205	0.2871519215
206	0.2870148416
207	0.2867925635
208	0.2866819394
209	0.286494953
210	0.2864074151
211	0.2862804246
212	0.2861577846
213	0.2860626662
214	0.2858954019
215	0.2857303747
216	0.2855351811
217	0.2854314566
218	0.2852287386
219	0.2850990195
220	0.2849490544
221	0.2847810779
222	0.2844850621
223	0.284325721
224	0.2842061247
225	0.2840727829
226	0.2839383871
227	0.2838054544
228	0.2836606792
229	0.2835341523
230	0.283404635
231	0.2832294857
232	0.283107163
233	0.2829913657
234	0.2828749659
235	0.2827413247
236	0.282613474
237	0.2823146942
238	0.2821273976
239	0.2817805454
240	0.2815411641
241	0.2814550034
242	0.2813174722
243	0.2812062551
244	0.281090871
245	0.2809821814
246	0.2808435084
247	0.280752899
248	0.2805501249
249	0.2804825389
250	0.2803473174
251	0.2800842202
252	0.2798604288
253	0.2796139513
254	0.2794746139
255	0.2792973507
256	0.2791915538
257	0.2791005264
258	0.2788120435
259	0.2786729585
260	0.2785029595
261	0.2783329415
262	0.278224158
263	0.278082482
264	0.2779935613
265	0.2778599114
266	0.2777421632
267	0.2774965944
268	0.2773731584
269	0.277205505
270	0.2770184222
271	0.2769048327
272	0.276795842
273	0.2766684349
274	0.2765665383
275	0.276402902
276	0.2763111172
277	0.2762537198
278	0.2759475294
279	0.2757843882
280	0.2756091876
281	0.275490726
282	0.2751063351
283	0.2748829553
284	0.2748069136
285	0.2746613994
286	0.2745174562
287	0.2743860858
288	0.2742980594
289	0.2742019417
290	0.2740850686
291	0.273926439
292	0.2738212891
293	0.2735087349
294	0.2733833458
295	0.2732453805
296	0.2731348458
297	0.2730185757
298	0.2728967497
299	0.2727645726
300	0.2725637041
301	0.2724082608
302	0.2722779258
303	0.2720481857
304	0.2718906293
305	0.2717444379
306	0.2715511762
307	0.2713433774
308	0.2712289779
309	0.2710517839
310	0.2709273139
311	0.2707627364
312	0.270664476
313	0.2705475131
314	0.2703781144
315	0.2703332344
316	0.2702253913
317	0.2701340959
318	0.2699452833
319	0.2698312613
320	0.2697119342
321	0.269687169
322	0.269496273
323	0.269356346
324	0.2692387327
325	0.2690400349
326	0.2688471083
327	0.2686975582
328	0.2685268884
329	0.2683734509
330	0.2680978271
331	0.2679095431
332	0.2678117891
333	0.2677325909
334	0.2676181745
335	0.2675100492
336	0.2674138966
337	0.2672931299
338	0.26712543
339	0.2670182354
340	0.2668948121
341	0.2667929652
342	0.2666264765
343	0.2665234281
344	0.2663900019
345	0.2662280705
346	0.2660796292
347	0.265981104
348	0.2657739167
349	0.2656178176
350	0.2654563646
351	0.2653783933
352	0.2652804424
353	0.2651380074
354	0.2649988672
355	0.2647924982
356	0.264699806
357	0.264558484
358	0.2644416582
359	0.2642983785
360	0.2641385106
361	0.2640187092
362	0.2638078508
363	0.2636760891
364	0.2635532444
365	0.2633705363
366	0.263267723
367	0.2631283059
368	0.2630475595
369	0.2629306668
370	0.2627862531
371	0.2627080055
372	0.2624276964
373	0.2622792642
374	0.2622067191
375	0.2620937839
376	0.2619919455
377	0.2618859391
378	0.2618042067
379	0.2616777419
380	0.2615835473
381	0.2614867366
382	0.2614242397
383	0.2613542549
384	0.2612146069
385	0.2610610026
386	0.260930676
387	0.2608096211
388	0.2607120693
389	0.2605893792
390	0.2604756029
391	0.2604078585
